ID,LONGITUDE,LATITUDE,ID1,ID11,TIPO,CENTROIDE,ZONA,RELACION,MULTIPLE_F
123,-71852182,-50308466,123,515,Centroide,EL CALAFATE,ZEL,ZEL,123|EL CALAFATE
84,-68342563,-54810829,670,84,Centroide,USHUAIA,OCP,OCP,84|USHUAIA
122,-69247292,-51621016,122,367,Centroide,RIO GALLEGOS,ZCP,ZCP,122|RIO GALLEGOS
85,-67704230,-53772772,85,362,Centroide,RIO GRANDE,ORG,ORG,85|RIO GRANDE
112,-71215675,-42948941,112,517,Centroide,ESQUEL,UES,UES,112|ESQUEL
2,-65416896,-24793116,2,598,Centroide,SALTA,ACP,ACP,2|SALTA
118,-65354773,-24177362,118,651,Centroide,JUJUY,YCP,YCP,118|JUJUY
119,-65357154,-23199248,630,119,Centroide,HUMAHUACA,YHU,YHU,119|HUMAHUACA
111,-67579410,-45906533,111,369,Centroide,COMODORO RIVADAVIA,UCR,UCR,111|COMODORO RIVA
92,-71292385,-41134546,92,518,Centroide,BARILOCHE,RBA,RBA,92|BARILOCHE
107,-65583391,-27345795,107,502,Centroide,CONCEPCION,TCO,TCO,107|CONCEPCION
109,-65243342,-27644372,109,187,Centroide,LAMADRID,TLA,TLA,109|LAMADRID
52,-66812718,-29396179,52,499,Centroide,LA RIOJA,DCP,DCP,52|LA RIOJA
74,-67029993,-27649342,74,527,Centroide,BEL�N,KBE,KBE,74|BEL�N
89,-67748901,-37660454,89,177,Centroide,25 DE MAYO,PVE,PVE,89|25 DE MAYO
80,-68374570,-34601024,80,153,Centroide,SAN RAFAEL,MSR,MSR,80|SAN RAFAEL
77,-66342914,-33316933,77,157,Centroide,SAN LUIS,LCP,LCP,77|SAN LUIS
79,-68819153,-32896718,79,519,Centroide,MENDOZA,MCP,MCP,79|MENDOZA
71,-68429716,-31699547,71,685,Centroide,SAN JUAN,JCP,JCP,71|SAN JUAN
72,-68783159,-30219321,72,171,Centroide,JACHAL,JJA,JJA,72|JACHAL
51,-67492854,-29168734,51,525,Centroide,CHILECITO,DCO,DCO,51|CHILECITO
110,-65300659,-43233166,110,340,Centroide,TRELEW,UCP,UCP,110|TRELEW
97,-65003445,-40712077,97,370,Centroide,S.A. OESTE,RSA,RSA,97|S.A. OESTE
94,-67614447,-39038648,94,302,Centroide,GENERAL ROCA,RGR,RGR,94|GENERAL ROCA
93,-63004471,-40802554,93,373,Centroide,VIEDMA,RCP,RCP,93|VIEDMA
96,-64107722,-38978409,96,304,Centroide,RIO COLORADO,RRC,RRC,96|RIO COLORADO
13,-63166716,-38158255,13,474,Centroide,DARREGUEIRA,BDA,BDA,13|DARREGUEIRA
76,-65272545,-34758560,76,163,Centroide,BUENA ESPERANZA,LBA,LBA,76|BUENA ESPERANZ
78,-65453289,-33660664,78,338,Centroide,V. MERCEDES,LVM,LVM,78|V. MERCEDES
87,-64607910,-37367905,87,179,Centroide,GRAL. ACHA,PGA,PGA,87|GRAL. ACHA
86,-64270260,-36620196,86,476,Centroide,STA. ROSA,PCP,PCP,86|STA. ROSA
9,-62789139,-37214905,9,585,Centroide,CARHUE,BCA,BCA,9|CARHUE
48,-65173065,-31947756,48,161,Centroide,VILLA DOLORES,CVD,CVD,48|VILLA DOLORES
50,-66592246,-31341900,50,142,Centroide,CHEPES,DCH,DCH,50|CHEPES
95,-69544657,-41327688,95,329,Centroide,ING. JACOBACCI,RIJ,RIJ,95|ING. JACOBACCI
91,-70072668,-38903140,91,301,Centroide,ZAPALA,QZA,QZA,91|ZAPALA
121,-67522270,-46420521,121,104,Centroide,CALETA OLIVIA,ZCO,ZCO,121|CALETA OLIVIA
90,-68058936,-38959510,90,306,Centroide,NEUQUEN,QCP,QCP,90|NEUQUEN
7,-61159302,-36218571,7,310,Centroide,BOLIVAR,BBO,BBO,7|BOLIVAR
25,-60896495,-35492558,25,546,Centroide,9 DE JULIO,BNU,BNU,25|9 DE JULIO
15,-62946388,-35045746,15,321,Centroide,GRAL. VILLEGAS,BGV,BGV,15|GRAL. VILLEGAS
29,-61905625,-35847329,29,316,Centroide,PEHUAJO,BPO,BPO,29|PEHUAJO
18,-61497736,-34841006,18,231,Centroide,LINCOLN,BLI,BLI,18|LINCOLN
106,-61997838,-33724199,106,440,Centroide,VENADO TUERTO,SVT,SVT,106|VENADO TUERTO
16,-61004320,-34593939,16,233,Centroide,JUNIN,BJU,BJU,16|JUNIN
34,-59787468,-35633525,34,282,Centroide,SALADILLO,BSO,BSO,34|SALADILLO
27,-60554362,-33899237,27,234,Centroide,PERGAMINO,BPE,BPE,27|PERGAMINO
33,-60220815,-33389078,33,235,Centroide,SAN NICOLAS,BSN,BSN,33|SAN NICOLAS
10,-60426380,-34623226,10,605,Centroide,CHACABUCO,BCB,BCB,10|CHACABUCO
5,-60094716,-34059967,5,567,Centroide,ARRECIFES,BAR,BAR,5|ARRECIFES
35,-59722187,-33762360,35,246,Centroide,SAN PEDRO,BSP,BSP,35|SAN PEDRO
21,-59400516,-34664774,21,531,Centroide,MERCEDES,BME,BME,21|MERCEDES
40,-62694087,-32610764,40,632,Centroide,BELL VILLE,CBV,CBV,40|BELL VILLE
99,-61424057,-32805115,99,637,Centroide,CA�ADA DE GOMEZ,SCG,SCG,99|CA�ADA DE GOME
47,-62097408,-31428126,47,7,Centroide,SAN FRANCISCO,CSF,CSF,47|SAN FRANCISCO
100,-60799928,-31667311,100,236,Centroide,SANTA FE,SCP,SCP,100|SANTA FE
39,-59051527,-34138256,39,80,Centroide,ZARATE,BZA,BZA,39|ZARATE
23,-57552647,-37995121,23,59,Centroide,MAR DEL PLATA,BMP,BMP,23|MAR DEL PLATA
20,-57874699,-36879852,20,263,Centroide,MAIPU,BMA,BMA,20|MAIPU
43,-64371557,-34803214,43,478,Centroide,HUINCA RENANCO,CHR,CHR,43|HUINCA RENANCO
88,-63783955,-35643017,88,34,Centroide,GRAL. PICO,PGP,PGP,88|GRAL. PICO
44,-63420517,-34141590,44,601,Centroide,LABOULAYE,CLA,CLA,44|LABOULAYE
45,-63303688,-33393860,45,511,Centroide,LA CARLOTA,CLC,CLC,45|LA CARLOTA
6,-62267248,-38720748,6,249,Centroide,BAHIA BLANCA,BBB,BBB,6|BAHIA BLANCA
14,-61262607,-38739541,14,375,Centroide,DORREGO,BDO,BDO,14|DORREGO
30,-61386658,-38027531,30,564,Centroide,CORONEL PRINGLES,BPR,BPR,30|CORONEL PRINGL
26,-60229870,-36936619,26,309,Centroide,OLAVARRIA,BOL,BOL,26|OLAVARRIA
98,-61937627,-29876038,98,457,Centroide,CERES,SCE,SCE,98|CERES
101,-61499512,-31226624,101,456,Centroide,RAFAELA,SRA,SRA,101|RAFAELA
105,-60381029,-33285978,105,638,Centroide,VILLA CONSTITUCI�N,SVC,SVC,105|VILLA CONSTIT
38,-60281424,-38356399,38,326,Centroide,TRES ARROYOS,BTR,BTR,38|TRES ARROYOS
24,-58756130,-38523829,373,24,Centroide,NECOCHEA,BNE,228 - Nacional / 86 - PROVINCIAL,24|NECOCHEA
28,-62418793,-37588726,28,595,Centroide,PIGUE,BPI,BPI,28|PIGUE
37,-62748582,-36014040,37,437,Centroide,TRENQUE LAUQUEN,BTL,BTL,37|TRENQUE LAUQUE
12,-58369780,-34622974,12,1,Centroide,CABA,BCP,BCP,12|CABA
11,-57984631,-35547707,11,267,Centroide,CHASCOMUS,BCH,BCH,11|CHASCOMUS
36,-59178745,-37289429,36,313,Centroide,TANDIL,BTA,BTA,36|TANDIL
17,-59103703,-36061798,17,380,Centroide,LAS FLORES,BLF,BLF,17|LAS FLORES
22,-58816945,-35436956,22,295,Centroide,MONTE,BMO,BMO,22|MONTE
8,-60440567,-35126217,8,538,Centroide,BRAGADO,BBR,BBR,8|BRAGADO
19,-59098106,-35206558,19,286,Centroide,LOBOS,BLO,BLO,19|LOBOS
32,-59460648,-34451385,32,532,Centroide,S.A. DE GILES,BSG,BSG,32|S.A. DE GILES
31,-59447889,-34262458,31,533,Centroide,S.A. ARECO,BSA,BSA,31|S.A. ARECO
53,-58091818,-31347371,53,131,Centroide,CONCORDIA,ECO,ECO,53|CONCORDIA
116,-57645714,-30245153,116,116,Centroide,MONTE CASEROS,WMC,WMC,116|MONTE CASEROS
69,-60417704,-26812341,69,196,Centroide,PRESIDENCIA SAENZ PE�A,HSP,HSP,69|PRESIDENCIA SA
68,-60598919,-25920925,68,659,Centroide,JUAN JOSE CASTELLI,HJC,HJC,68|JUAN JOSE CAST
67,-59001578,-27411614,67,52,Centroide,RESISTENCIA,HCP,HCP,67|RESISTENCIA
117,-57111343,-29724142,117,71,Centroide,PASO DE LOS LIBRES,WPL,WPL,117|PASO DE LOS L
113,-58782524,-27483179,113,95,Centroide,CORRIENTES,WCP,WCP,113|CORRIENTES
59,-58176082,-26184560,59,54,Centroide,FORMOSA,FCP,FCP,59|FORMOSA
1,-65970494,-26059404,1,529,Centroide,CAFAYATE,ACA,ACA,1|CAFAYATE
108,-65176494,-26836934,108,401,Centroide,TUCUMAN,TCP,TCP,108|TUCUMAN
66,-63903831,-29193401,66,645,Centroide,SUMAMPA,GSU,GSU,66|SUMAMPA
62,-64265492,-27790647,62,589,Centroide,SANTIAGO DEL ESTERO,GCP,GCP,62|SANTIAGO DEL E
61,-62967060,-28583805,61,458,Centroide,C.DORA,GCD,34 - Nacional / SIN NOMBRE - VECINAL,61|C.DORA
3,-64981221,-25505786,3,649,Centroide,METAN,AME,AME,3|METAN
58,-57732651,-25290487,58,56,Centroide,CLORINDA,FCL,FCL,58|CLORINDA
4,-63792490,-22489297,4,472,Centroide,TARTAGAL,ATA,ATA,4|TARTAGAL
60,-60590362,-24702814,60,621,Centroide,LAS LOMITAS,FLL,FLL,60|LAS LOMITAS
55,-58586710,-32964245,55,126,Centroide,GUALEGUAYCHU,EGU,EGU,55|GUALEGUAYCHU
120,-64783081,-23786926,120,469,Centroide,LEDESMA,YLE,YLE,120|LEDESMA
115,-59251087,-29124434,115,352,Centroide,GOYA,WGO,WGO,115|GOYA
102,-59662619,-29166512,102,51,Centroide,VERA,SRE,SRE,102|VERA
54,-60479323,-31760839,54,68,Centroide,PARAN�,ECP,ECP,54|PARAN�
56,-59780450,-32392403,56,85,Centroide,NOGOYA,ENO,ENO,56|NOGOYA
57,-59142494,-32315613,57,506,Centroide,ROSARIO DEL TALA,ERT,ERT,57|ROSARIO DEL TA
104,-60574323,-30771134,104,49,Centroide,SAN JUSTO,SSJ,SSJ,104|SAN JUSTO
114,-59524098,-29998206,114,90,Centroide,ESQUINA,WES,WES,114|ESQUINA
65,-62421223,-27657490,65,629,Centroide,QUIMILI,GQU,GQU,65|QUIMILI
70,-60745541,-27556008,70,658,Centroide,VILLA ANGELA,HVA,HVA,70|VILLA ANGELA
64,-62822960,-25819796,64,655,Centroide,MONTE QUEMADO,GMQ,GMQ,64|MONTE QUEMADO
46,-64350899,-33117187,46,399,Centroide,RIO CUARTO,CRC,CRC,46|RIO CUARTO
49,-63247828,-32403375,49,194,Centroide,VILLA MARIA,CVM,CVM,49|VILLA MARIA
41,-64182163,-31421827,41,273,Centroide,CORDOBA,CCP,CCP,41|CORDOBA
42,-64439928,-30288769,42,583,Centroide,DEAN FUNES,CDF,CDF,42|DEAN FUNES
73,-66319550,-27581100,73,541,Centroide,ANDALGALA,KAN,KAN,73|ANDALGALA
75,-65733473,-28467536,75,447,Centroide,CATAMARCA,KCP,KCP,75|CATAMARCA
63,-65095292,-28481293,63,184,Centroide,FRIAS,GFR,GFR,63|FRIAS
103,-60664798,-32955419,103,224,Centroide,ROSARIO,SRO,SRO,103|ROSARIO
83,-55100849,-27491514,83,39,Centroide,OBER�,NOB,NOB,83|OBER�
82,-54560608,-25611694,82,101,Centroide,IGUAZU,NIG,NIG,82|IGUAZU
81,-55916032,-27402909,81,98,Centroide,POSADAS,NCP,NCP,81|POSADAS
